id,lead_id,leadCreatedAt,startTime,endTime,statusBefore,statusAfter,user_id,owner_id,endTime_id,user_history_id
5e354172af631b5d748e332a5ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-02-01 09:14:26.51,2020-06-12 03:21:08.413,L4A,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
5e36863faf631b5d748e6cee5ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-02-02 08:20:15.645,2020-06-12 03:21:08.413,L2E,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
5e465ddc9ec33c0f76aa8f445ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-02-14 08:44:12.408,2020-06-12 03:21:08.413,L4A,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
5e57809a482a9d2222e0e8155ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-02-27 08:40:58.071,2020-06-12 03:21:08.413,L2E,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
5e70a6d3c5b67a7092b631f75ee2f4a4fa414c33be603066,5e154831831cdd0b1377ad4d,1633586792,2020-03-17 10:30:43.038,2020-06-12 03:21:08.413,L4A,L2D,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200612,196
5e354172af631b5d748e332a5f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-02-01 09:14:26.51,2020-07-10 08:26:36.053,L4A,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5e36863faf631b5d748e6cee5f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-02-02 08:20:15.645,2020-07-10 08:26:36.053,L2E,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5e465ddc9ec33c0f76aa8f445f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-02-14 08:44:12.408,2020-07-10 08:26:36.053,L4A,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5e57809a482a9d2222e0e8155f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-02-27 08:40:58.071,2020-07-10 08:26:36.053,L2E,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5e70a6d3c5b67a7092b631f75f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-03-17 10:30:43.038,2020-07-10 08:26:36.053,L4A,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5ee2f4a4fa414c33be6030665f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-06-12 03:21:08.413,2020-07-10 08:26:36.053,L2E,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
5f08263cd719e9755afa22745f08263cd719e9755afa2274,5e154831831cdd0b1377ad4d,1633586792,2020-07-10 08:26:36.053,2020-07-10 08:26:36.053,L2D,L4A,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200710,212
60a652c74fb7da1b18beb8215f16593ef226c32f11c2539e,5e154831831cdd0b1377ad4d,1633586792,2020-01-08 03:10:40.885,2020-07-21 02:55:58.521,L1A,L2E,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,dhnVoNGYrvdDrIYiRM0qMVmNjbF3,20200721,212
